rank,file,layer,lines_found,lines_hit,coverage_pct,uncovered_lines,has_test
1,"data/datasources/local/database/app_database.g.dart",data/datasources/local,1561,317,20.31,1244,NO
2,"presentation/pages/chat/widgets/message_bubble.dart",presentation/pages,645,175,27.13,470,NO
3,"presentation/pages/profile/profile_view_page.dart",presentation/pages,398,0,0.00,398,NO
4,"presentation/pages/profile/edit_profile_page.dart",presentation/pages,269,1,0.37,268,NO
5,"presentation/pages/chat/widgets/message_input.dart",presentation/pages,334,104,31.14,230,NO
6,"presentation/pages/profile/profile_history_page.dart",presentation/pages,230,0,0.00,230,NO
7,"data/datasources/remote/chat_remote_datasource.dart",data/datasources/remote,302,103,34.11,199,NO
8,"presentation/pages/settings/chat_settings_page.dart",presentation/pages,163,1,0.61,162,NO
9,"presentation/pages/chat/media_gallery_page.dart",presentation/pages,159,0,0.00,159,NO
10,"core/network/websocket_service.dart",core/network,217,68,31.34,149,NO
11,"presentation/pages/settings/account_deletion_page.dart",presentation/pages,143,1,0.70,142,NO
12,"presentation/pages/settings/notification_settings_page.dart",presentation/pages,140,1,0.71,139,NO
13,"data/datasources/remote/friend_remote_datasource.dart",data/datasources/remote,187,52,27.81,135,NO
14,"presentation/pages/auth/forgot_password_page.dart",presentation/pages,128,1,0.78,127,NO
15,"presentation/pages/friends/friend_list_page.dart",presentation/pages,356,232,65.17,124,NO
16,"presentation/pages/chat/chat_room_page.dart",presentation/pages,338,218,64.50,120,NO
17,"presentation/blocs/chat/chat_room_bloc.dart",presentation/blocs,559,444,79.43,115,NO
18,"presentation/pages/profile/widgets/profile_dialogs.dart",presentation/pages,115,0,0.00,115,NO
19,"data/datasources/local/database/converters/entity_converters.dart",data/datasources/local,108,0,0.00,108,NO
20,"presentation/pages/settings/change_password_page.dart",presentation/pages,97,1,1.03,96,NO
21,"presentation/pages/profile/widgets/profile_form_fields.dart",presentation/pages,90,0,0.00,90,NO
22,"presentation/pages/friends/received_requests_page.dart",presentation/pages,91,2,2.20,89,NO
23,"presentation/pages/friends/sent_requests_page.dart",presentation/pages,87,2,2.30,85,NO
24,"core/network/websocket/websocket_subscription_manager.dart",core/network,101,17,16.83,84,NO
25,"presentation/widgets/link_preview_card.dart",presentation/widgets,78,0,0.00,78,NO
26,"data/datasources/local/chat_local_datasource.dart",data/datasources/local,71,0,0.00,71,NO
27,"presentation/pages/chat/chat_list_page.dart",presentation/pages,172,109,63.37,63,NO
28,"presentation/pages/profile/widgets/history_item_options_sheet.dart",presentation/pages,56,0,0.00,56,NO
29,"presentation/blocs/friend/friend_bloc.dart",presentation/blocs,179,124,69.27,55,NO
30,"presentation/pages/auth/find_email_page.dart",presentation/pages,56,1,1.79,55,NO
31,"data/repositories/chat_repository_impl.dart",data/repositories,93,40,43.01,53,NO
32,"core/network/websocket/websocket_events.dart",core/network,146,94,64.38,52,NO
33,"presentation/blocs/auth/auth_bloc.dart",presentation/blocs,128,78,60.94,50,NO
34,"data/datasources/local/database/tables.dart",data/datasources/local,53,4,7.55,49,NO
35,"data/datasources/local/database/daos/chat_room_dao.dart",data/datasources/local,49,0,0.00,49,NO
36,"presentation/blocs/chat/chat_list_bloc.dart",presentation/blocs,200,151,75.50,49,NO
37,"core/network/websocket/websocket_connection_manager.dart",core/network,120,72,60.00,48,NO
38,"presentation/pages/profile/widgets/background_image_section.dart",presentation/pages,48,0,0.00,48,NO
39,"data/datasources/remote/auth_remote_datasource.dart",data/datasources/remote,75,28,37.33,47,NO
40,"presentation/blocs/chat/media_gallery_bloc.dart",presentation/blocs,48,3,6.25,45,NO
41,"presentation/pages/auth/email_verification_page.dart",presentation/pages,44,0,0.00,44,NO
42,"presentation/blocs/auth/forgot_password_bloc.dart",presentation/blocs,43,1,2.33,42,NO
43,"presentation/pages/chat/direct_chat_page.dart",presentation/pages,42,0,0.00,42,NO
44,"presentation/pages/profile/handlers/image_picker_handler.dart",presentation/pages,42,0,0.00,42,NO
45,"presentation/pages/profile/widgets/profile_image_section.dart",presentation/pages,42,0,0.00,42,NO
46,"core/utils/file_mime_resolver.dart",core/utils,38,0,0.00,38,NO
47,"core/services/fcm_service.dart",core/services,73,36,49.32,37,NO
48,"presentation/blocs/chat/chat_room_event.dart",presentation/blocs,76,40,52.63,36,NO
49,"data/datasources/local/database/daos/message_dao.dart",data/datasources/local,86,51,59.30,35,NO
50,"core/network/certificate_pinning_interceptor.dart",core/network,36,2,5.56,34,NO
51,"presentation/blocs/settings/account_deletion_bloc.dart",presentation/blocs,34,0,0.00,34,NO
52,"data/models/message_model.g.dart",data/models,88,55,62.50,33,NO
53,"presentation/pages/friends/blocked_users_page.dart",presentation/pages,101,68,67.33,33,NO
54,"data/models/notification_settings_model.dart",data/models,33,0,0.00,33,NO
55,"data/models/media_gallery_model.dart",data/models,31,0,0.00,31,NO
56,"presentation/widgets/reaction_display.dart",presentation/widgets,33,3,9.09,30,NO
57,"presentation/blocs/settings/notification_settings_cubit.dart",presentation/blocs,29,0,0.00,29,NO
58,"presentation/blocs/chat/managers/websocket_subscription_manager.dart",presentation/blocs,106,77,72.64,29,NO
59,"presentation/widgets/link_preview_loader.dart",presentation/widgets,29,0,0.00,29,NO
60,"presentation/pages/profile/handlers/profile_submit_handler.dart",presentation/pages,28,0,0.00,28,NO
61,"core/window/window_focus_tracker.dart",core/other,42,15,35.71,27,NO
62,"presentation/pages/auth/find_email_result_page.dart",presentation/pages,27,0,0.00,27,NO
63,"presentation/pages/settings/settings_page.dart",presentation/pages,108,82,75.93,26,NO
64,"data/models/report_model.dart",data/models,36,10,27.78,26,NO
65,"core/network/websocket/websocket_message_sender.dart",core/network,33,8,24.24,25,NO
66,"data/models/chat_room_model.g.dart",data/models,64,39,60.94,25,NO
67,"data/repositories/settings_repository_impl.dart",data/repositories,25,0,0.00,25,NO
68,"presentation/blocs/auth/find_email_bloc.dart",presentation/blocs,25,1,4.00,24,NO
69,"presentation/pages/settings/security_settings_page.dart",presentation/pages,25,1,4.00,24,NO
70,"core/services/notification_service.dart",core/services,56,33,58.93,23,NO
71,"domain/entities/notification_settings.dart",domain,23,1,4.35,22,NO
72,"data/models/notification_settings_model.g.dart",data/models,22,0,0.00,22,NO
73,"presentation/blocs/chat/managers/message_cache_manager.dart",presentation/blocs,166,144,86.75,22,NO
74,"presentation/pages/image_editor/image_editor_page.dart",presentation/pages,22,0,0.00,22,NO
75,"core/network/auth_interceptor.dart",core/network,60,39,65.00,21,NO
76,"data/datasources/remote/settings_remote_datasource.dart",data/datasources/remote,21,0,0.00,21,NO
77,"data/models/chat_settings_model.dart",data/models,20,1,5.00,19,NO
78,"presentation/widgets/connection_status_banner.dart",presentation/widgets,23,4,17.39,19,NO
79,"data/models/link_preview_model.g.dart",data/models,18,0,0.00,18,NO
80,"presentation/blocs/settings/account_deletion_state.dart",presentation/blocs,22,4,18.18,18,NO
81,"presentation/pages/settings/terms_page.dart",presentation/pages,20,3,15.00,17,NO
82,"presentation/pages/settings/privacy_policy_page.dart",presentation/pages,20,3,15.00,17,NO
83,"presentation/blocs/settings/change_password_bloc.dart",presentation/blocs,16,0,0.00,16,NO
84,"data/models/chat_settings_model.g.dart",data/models,16,0,0.00,16,NO
85,"di/injection.dart",di,16,1,6.25,15,NO
86,"presentation/pages/main/main_page.dart",presentation/pages,76,61,80.26,15,NO
87,"core/services/biometric_service.dart",core/services,15,0,0.00,15,NO
88,"presentation/blocs/profile/profile_event.dart",presentation/blocs,21,6,28.57,15,NO
89,"presentation/blocs/settings/chat_settings_cubit.dart",presentation/blocs,29,15,51.72,14,NO
90,"data/datasources/local/chat_settings_local_datasource.dart",data/datasources/local,14,0,0.00,14,NO
91,"data/repositories/auth_repository_impl.dart",data/repositories,50,36,72.00,14,NO
92,"data/repositories/friend_repository_impl.dart",data/repositories,35,21,60.00,14,NO
93,"presentation/blocs/profile/profile_bloc.dart",presentation/blocs,102,88,86.27,14,NO
94,"data/datasources/local/database/app_database.dart",data/datasources/local,25,12,48.00,13,NO
95,"data/models/link_preview_model.dart",data/models,13,0,0.00,13,NO
96,"domain/entities/link_preview.dart",domain,13,0,0.00,13,NO
97,"core/services/deep_link_service.dart",core/services,43,31,72.09,12,NO
98,"presentation/blocs/auth/email_verification_bloc.dart",presentation/blocs,12,0,0.00,12,NO
99,"presentation/pages/profile/profile_page.dart",presentation/pages,90,78,86.67,12,NO
100,"domain/entities/report.dart",domain,21,9,42.86,12,NO
101,"core/utils/save_image_to_gallery.dart",core/utils,12,0,0.00,12,NO
102,"data/datasources/local/theme_local_datasource.dart",data/datasources/local,12,0,0.00,12,NO
103,"data/repositories/link_preview_repository_impl.dart",data/repositories,12,0,0.00,12,NO
104,"presentation/blocs/friend/friend_event.dart",presentation/blocs,43,31,72.09,12,NO
105,"presentation/blocs/settings/notification_settings_state.dart",presentation/blocs,15,3,20.00,12,NO
106,"presentation/pages/profile/handlers/image_cropper_handler.dart",presentation/pages,12,0,0.00,12,NO
107,"core/network/dio_client.dart",core/network,24,13,54.17,11,NO
108,"core/network/websocket/websocket_event_parser.dart",core/network,41,31,75.61,10,NO
109,"data/repositories/report_repository_impl.dart",data/repositories,10,0,0.00,10,NO
110,"presentation/pages/chat/widgets/video_player_page.dart",presentation/pages,35,25,71.43,10,NO
111,"data/datasources/local/auth_local_datasource.dart",data/datasources/local,36,27,75.00,9,NO
112,"core/router/app_router.dart",core/other,13,4,30.77,9,NO
113,"presentation/pages/auth/signup_page.dart",presentation/pages,96,87,90.62,9,NO
114,"core/services/notification_click_handler.dart",core/services,32,23,71.88,9,NO
115,"data/datasources/remote/link_preview_remote_datasource.dart",data/datasources/remote,9,0,0.00,9,NO
116,"core/constants/api_constants.dart",core/other,19,11,57.89,8,NO
117,"presentation/blocs/settings/account_deletion_event.dart",presentation/blocs,11,3,27.27,8,NO
118,"data/datasources/base_remote_datasource.dart",data/other,58,51,87.93,7,NO
119,"core/config/security_config.dart",core/other,9,2,22.22,7,NO
120,"presentation/blocs/auth/auth_event.dart",presentation/blocs,20,13,65.00,7,NO
121,"presentation/pages/auth/login_page.dart",presentation/pages,85,78,91.76,7,NO
122,"core/utils/url_utils.dart",core/utils,8,1,12.50,7,NO
123,"data/datasources/local/security_settings_local_datasource.dart",data/datasources/local,7,0,0.00,7,NO
124,"data/repositories/notification_repository_impl.dart",data/repositories,34,27,79.41,7,NO
125,"presentation/blocs/auth/email_verification_event.dart",presentation/blocs,7,0,0.00,7,NO
126,"presentation/blocs/chat/managers/message_handler.dart",presentation/blocs,62,55,88.71,7,NO
127,"presentation/blocs/settings/change_password_event.dart",presentation/blocs,7,0,0.00,7,NO
128,"data/datasources/remote/profile_remote_datasource.dart",data/datasources/remote,51,45,88.24,6,NO
129,"presentation/widgets/message_search_widget.dart",presentation/widgets,110,104,94.55,6,NO
130,"core/network/websocket/websocket_config.dart",core/network,7,1,14.29,6,NO
131,"domain/entities/friend.dart",domain,12,6,50.00,6,NO
132,"data/models/message_model.dart",data/models,64,58,90.62,6,NO
133,"presentation/pages/splash/splash_page.dart",presentation/pages,23,17,73.91,6,NO
134,"data/datasources/remote/report_remote_datasource.dart",data/datasources/remote,25,19,76.00,6,YES
135,"presentation/blocs/auth/email_verification_state.dart",presentation/blocs,10,4,40.00,6,NO
136,"presentation/blocs/profile/profile_state.dart",presentation/blocs,23,17,73.91,6,NO
137,"presentation/blocs/settings/change_password_state.dart",presentation/blocs,10,4,40.00,6,NO
138,"presentation/pages/chat/widgets/message_list.dart",presentation/pages,41,35,85.37,6,NO
139,"presentation/pages/chat/widgets/scroll_to_bottom_fab.dart",presentation/pages,23,17,73.91,6,NO
140,"core/errors/exceptions.dart",core/other,21,16,76.19,5,NO
141,"presentation/pages/friends/hidden_friends_page.dart",presentation/pages,89,84,94.38,5,NO
142,"presentation/blocs/settings/chat_settings_state.dart",presentation/blocs,17,12,70.59,5,NO
143,"data/models/chat_room_model.dart",data/models,50,46,92.00,4,NO
144,"presentation/pages/friends/friend_settings_page.dart",presentation/pages,53,49,92.45,4,NO
145,"presentation/blocs/app/app_lock_cubit.dart",presentation/blocs,20,16,80.00,4,NO
146,"presentation/blocs/theme/theme_cubit.dart",presentation/blocs,13,9,69.23,4,NO
147,"presentation/blocs/chat/chat_list_event.dart",presentation/blocs,29,25,86.21,4,NO
148,"core/services/desktop_notification_bridge.dart",core/services,38,35,92.11,3,NO
149,"core/errors/failures.dart",core/other,15,12,80.00,3,NO
150,"data/repositories/profile_repository_impl.dart",data/repositories,18,15,83.33,3,NO
151,"core/utils/error_message_mapper.dart",core/utils,36,34,94.44,2,NO
152,"core/utils/date_parser.dart",core/utils,26,24,92.31,2,NO
153,"core/utils/jwt_utils.dart",core/utils,14,12,85.71,2,NO
154,"presentation/blocs/chat/managers/presence_manager.dart",presentation/blocs,37,35,94.59,2,NO
155,"data/datasources/local/database/daos/message_dao.g.dart",data/datasources/local,4,3,75.00,1,NO
156,"data/datasources/local/database/daos/chat_room_dao.g.dart",data/datasources/local,1,0,0.00,1,NO
157,"core/theme/app_colors.dart",core/other,16,15,93.75,1,NO
